direction,income
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,50-100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
Wrong Direction,>100K
