saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2015,4,300148.1657085284,2620,4,2,2.5,1904,Whittier,Powderhorn,6326,0
2005,9,274943.0985915493,1876,3,1,1.2,1925,Como,University,4864,0
2015,11,608767.8107025969,3370,3,3,2,1922,Lynnhurst,Southwest,8040,1
2013,11,198241.43528406665,1582,2,2,1.7,1920,Seward,Longfellow,5160,0
2012,8,671702.8505815117,3776,4,5,2.5,1925,Lynnhurst,Southwest,5400,0
2007,1,228121.3348604236,2928,4,4,1.5,1955,Shingle Creek,Camden,7538,0
2015,6,403567.02306264907,2614,4,3,1.5,1932,Keewaydin,Nokomis,5005,2
2010,3,298329.1511964408,2484,4,3,1.2,1949,Diamond Lake,Nokomis,7500,2
2012,10,261566.06428996968,2097,3,2,1.2,1924,Tangletown,Southwest,6450,1
2006,12,387180.30526834074,2576,2,2,1,1920,Tangletown,Southwest,9600,1
2009,8,167538.62934855765,2158,4,2,1.5,1953,Shingle Creek,Camden,6592,0
2012,10,272696.53511081944,2472,4,2,1.7,1926,Bryant,Powderhorn,5330,1
2013,8,524580.2206839833,2400,3,2,2,1927,Linden Hills,Southwest,5670,2
2015,6,173577.21422049424,1401,2,1,1.2,1914,Corcoran,Powderhorn,5080,0
2013,4,1934817.3099738134,5784,3,5,2.5,1905,Lowry Hill,Calhoun-Isles,20600,4
2015,9,485255.9937346841,1817,3,3,1.5,1914,Tangletown,Southwest,11190,1
2005,10,205767.12004018083,1782,3,1,1.2,1956,McKinley,Camden,6475,0
2005,10,382009.44249121053,2316,3,2,1.2,1931,Hale,Nokomis,4922,1
2006,6,268300.49554013874,2064,4,1,1,1955,Wenonah,Nokomis,5120,0
2011,5,448112.0717418574,2516,4,2,2,1927,Windom,Southwest,10824,1
2012,4,303736.59937081946,1511,3,1,1.7,1940,Howe,Longfellow,5628,1
2010,9,212613.9961058298,1814,1,1,1.2,1940,Kenny,Southwest,5600,0
2014,7,217116.7757202166,2016,4,2,1,1996,Minnehaha,Nokomis,5120,0
2014,8,247552.73309188918,2322,5,2,1.5,1925,Bancroft,Powderhorn,5231,1
2015,12,147418.62344118673,1664,2,2,1,1953,Shingle Creek,Camden,5375,0
2005,4,147613.22457408364,1684,3,1,1.7,1904,Jordan,Near North,3900,0
2013,5,375240.3047957463,2640,3,2,1,1957,Armatage,Southwest,6625,2
2009,2,211999.80066288993,1890,2,2,2,1900,Sheridan,Northeast,2970,0
2010,2,142272.43799503866,1824,1,1,1,1915,Bryant,Powderhorn,5166,0
2006,7,1772619.4184327256,4279,5,4,2.5,1908,Lowry Hill,Calhoun-Isles,10800,2
2012,12,1494172.934119306,5452,5,6,2.5,1916,Kenwood,Calhoun-Isles,14682,4
2008,9,353382.0364862457,2727,4,3,1.2,1924,Audubon Park,Northeast,5000,0
2013,2,364150.37542339775,2340,3,2,1,1965,Linden Hills,Southwest,5715,0
2007,4,219503.00722666873,2296,3,1,1.5,1900,Sheridan,Northeast,4200,0
2011,6,194853.77436545287,2024,2,2,1,1955,Kenny,Southwest,5080,0
2013,8,227491.11507093415,1763,5,3,1,1956,Columbia Park,Northeast,5104,0
2014,7,778363.6409569765,2881,3,2,1.7,1903,Fulton,Southwest,9490,1
2015,12,138801.0312877217,2494,5,2,2.5,1900,Harrison,Near North,5535,0
2007,10,537364.4246856925,2568,3,2,2,1910,Cedar - Isles - Dean,Calhoun-Isles,7700,0
2010,5,245614.4691426205,2052,3,1,1.2,1918,Cooper,Longfellow,5160,0
2012,8,109894.62330048105,2352,4,2,1.7,1937,Folwell,Camden,5041,0
2015,8,203631.05955896876,1852,3,1,1.7,1920,Corcoran,Powderhorn,3600,0
2015,7,170052.88320155945,2488,4,3,1.2,1924,Webber - Camden,Camden,5881,0
2007,7,538988.4346565319,2358,3,2,1.2,1947,Armatage,Southwest,6300,1
