saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2007,4,232275.0019426529,2748,4,2,2.2,1906,Jordan,Near North,5625,1
2008,10,231571.68414018757,1892,2,1,1.2,1938,Hiawatha,Longfellow,5670,1
2011,3,502826.5021565058,2181,3,2,1.2,1948,Armatage,Southwest,6350,1
2005,11,203031.51943462898,1325,2,1,1,1900,Webber - Camden,Camden,6400,0
2013,5,168997.11504875094,2287,3,2,2,2004,Shingle Creek,Camden,4543,1
2014,1,476664.5132773453,2751,3,2,1.2,1925,Linden Hills,Southwest,6272,1
2006,10,188994.31401684,2018,2,1,1.5,1903,Corcoran,Powderhorn,6255,0
2006,6,289381.24876114965,2480,3,3,1.2,1927,Keewaydin,Nokomis,5040,1
2015,9,407093.9544754061,2764,3,2,1.5,1940,Diamond Lake,Nokomis,6780,1
2005,1,403556.4592901879,1962,3,3,1.5,1921,Tangletown,Southwest,5330,1
2015,10,402353.4974109611,2544,3,2,2,1914,King Field,Southwest,4944,1
2006,3,232390.1852779169,2756,4,2,1.7,1900,Willard - Hay,Near North,7680,0
2015,4,251033.01131986015,2174,3,2,1.2,1928,Hiawatha,Longfellow,5943,2
2009,11,154290.39653092978,1250,2,1,1.5,1907,Powderhorn Park,Powderhorn,5481,0
2015,8,233959.0897060492,1876,2,1,1.2,1926,Standish,Powderhorn,5040,0
2015,6,303651.63912697707,2328,4,2,2.2,1937,Hiawatha,Longfellow,5776,1
2015,7,357435.9965383097,2946,5,3,1.2,1940,Audubon Park,Northeast,5080,0
2006,12,209458.1979320532,1392,1,1,1,1926,Regina,Nokomis,4849,0
2010,5,151284.27447190392,2442,4,2,2.2,1913,Hawthorne,Near North,5425,2
2009,10,289965.51644504385,3442,3,2,1.5,1921,Willard - Hay,Near North,7680,1
2015,10,515034.16690152406,2776,4,2,1,1950,Wenonah,Nokomis,9900,2
2015,6,795200.6126476391,3665,5,4,2.5,1907,Lowry Hill,Calhoun-Isles,6750,2
2013,10,276946.5526021851,2024,3,2,1.2,1948,Kenny,Southwest,7500,1
2009,3,386441.77039459755,2417,3,2,2,1914,Cooper,Longfellow,5160,1
2012,12,299392.1140380848,1422,2,2,1.5,1922,Kenny,Southwest,5600,0
2006,6,268300.49554013874,1584,2,1,1,1955,Seward,Longfellow,6123,0
2014,2,240806.63307110683,2398,3,2,1.2,1919,King Field,Southwest,5292,1
2015,12,233142.35724109507,1900,3,2,1.2,1920,Standish,Powderhorn,4200,0
2008,9,233762.21713565153,1376,2,2,1,1920,Howe,Longfellow,5080,0
2015,7,108205.62440659737,1342,3,1,1.5,1907,Cleveland,Camden,7534,0
2012,10,135791.74401436723,2529,4,2,1.2,1920,Willard - Hay,Near North,5160,0
2013,6,134211.12091032288,1600,2,1,1,1930,Lind - Bohanon,Camden,7034,0
2009,1,263988.1849452422,2162,3,1,1.2,1931,Waite Park,Northeast,5670,1
2009,9,203047.70199341243,2020,3,1,1.2,1947,Wenonah,Nokomis,5120,0
2014,5,239304.30613123527,1512,3,2,1,1939,Kenny,Southwest,6400,0
2015,6,179001.50216488467,1699,3,1,1.2,1914,Howe,Longfellow,5040,0
2005,6,207643.48993288592,1878,3,1,1.2,1917,Folwell,Camden,5030,0
2010,9,192533.78536250142,2087,2,3,1.5,1951,Waite Park,Northeast,4960,0
2006,6,306629.13776015857,2479,5,2,1.7,1911,Central,Powderhorn,5376,0
2014,9,498055.6432833496,2890,4,2,1.2,1925,Linden Hills,Southwest,5494,2
2013,2,267855.29134487006,2065,4,1,1.7,1913,Cooper,Longfellow,5040,0
2013,8,386532.7941881982,2583,4,2,1.7,1949,Ericsson,Nokomis,8400,2
2013,7,156642.7479604981,1922,4,2,1.5,1911,Bryant,Powderhorn,5200,0
2006,10,306477.26597325405,1934,3,2,1.7,1900,Waite Park,Northeast,5000,0
2011,7,686325.783624304,4094,5,2,2.5,1901,Lowry Hill,Calhoun-Isles,6334,2
2007,9,614434.7700997858,2914,3,3,2.2,1902,ECCO,Calhoun-Isles,5913,0
2005,2,353770.97713097715,2492,2,2,1.2,1928,Standish,Powderhorn,5080,0
2008,1,783774.0722237409,3588,4,4,2.5,1925,Tangletown,Southwest,5600,2
2012,12,130414.53584233267,3256,3,2,1.7,1999,Folwell,Camden,4993,0
2009,7,315787.15199836076,2124,3,2,1.5,1939,Victory,Camden,6330,1
2009,5,136765.74250546892,1900,4,1,1.2,1949,Shingle Creek,Camden,10122,0
2012,7,274640.81543374603,2032,3,2,2,1922,King Field,Southwest,4699,1
2014,5,237236.64727880532,4996,5,3,2.5,1900,Central,Powderhorn,4746,1
2015,11,148400.69406807076,1260,1,1,1.2,1925,Waite Park,Northeast,6600,0
2009,5,205753.77191088244,2110,3,2,1.7,1908,Central,Powderhorn,5120,0
2006,10,280937.49380881625,2172,3,2,1,1956,Waite Park,Northeast,6615,2
2015,6,474082.7663397249,1800,4,3,1.7,1912,Linden Hills,Southwest,11704,1
2007,4,480828.03636646207,2316,4,3,1.2,1941,Kenny,Southwest,5376,1
2005,12,201274.51590106008,1218,2,1,1.5,1911,Howe,Longfellow,5040,0
2007,6,793126.6104982774,4140,4,3,2,1914,Windom,Southwest,14040,1
2014,12,243361.96942248108,2136,3,2,1,1965,Waite Park,Northeast,5032,0
2011,3,178590.10249006932,2090,3,2,2.5,1909,Powderhorn Park,Powderhorn,4912,0
2006,8,638867.1246319922,2945,4,3,1.5,1938,Lynnhurst,Southwest,5080,2
2012,11,454887.12167403975,2386,3,3,2,1918,CARAG,Calhoun-Isles,5376,1
2005,3,243003.45934748836,1752,3,1,1.2,1926,Standish,Powderhorn,4880,0
2005,8,256377.766445691,2548,4,2,1.5,1954,Victory,Camden,5100,2
2007,6,192838.62686624783,1804,4,1,1.5,1914,McKinley,Camden,9420,0
2015,8,180885.0369486584,1435,2,1,1.5,1921,Ericsson,Nokomis,5560,0
2008,10,253196.13078642366,1865,3,2,1.2,1925,Seward,Longfellow,6000,1
2015,3,392238.26151812053,2128,3,3,1.2,1929,Lynnhurst,Southwest,6750,1
2009,9,196478.51163480204,1820,3,1,1.5,1913,Bottineau,Northeast,4760,0
2015,8,209588.3511950024,1650,3,1,1.5,1922,Audubon Park,Northeast,5020,0
2007,4,331821.431346647,2293,3,2,1.2,1933,Kenny,Southwest,4956,1
2014,8,412587.88848648197,2588,4,2,1.5,1931,Hale,Nokomis,5146,1
2005,4,323444.66701084154,2626,3,2,1.2,1940,Hiawatha,Longfellow,7560,0
2015,10,222866.9641993329,1917,2,1,1.7,1910,Ericsson,Nokomis,5334,0
2014,9,294219.2464954501,2796,4,2,1.5,1936,Keewaydin,Nokomis,6233,1
2012,8,291557.1638584191,1999,3,2,1.5,1913,King Field,Southwest,4938,1
2008,4,247047.89148460797,2140,3,1,1.7,1916,Standish,Powderhorn,5080,0
2012,8,205211.38840804115,1739,2,1,1.5,1916,Hiawatha,Longfellow,5120,0
2015,7,347687.74208726484,2132,3,2,1.5,1930,Standish,Powderhorn,5324,0
2015,9,396238.1156893953,3489,4,2,1.5,1964,Diamond Lake,Nokomis,9690,1
2013,6,186342.7133300351,1816,2,1,1.2,1929,Ericsson,Nokomis,5080,0
2012,10,150261.35608147195,1567,5,2,1,1981,Central,Powderhorn,5789,0
2007,2,194416.4601960573,1020,1,1,1,1916,Field,Nokomis,4403,0
2007,11,287376.03991766035,2148,3,2,1.2,1941,Corcoran,Powderhorn,7182,1
2009,8,411666.34639931313,2552,3,3,1.2,1936,Linden Hills,Southwest,5080,1
2009,5,357043.310080649,2978,5,2,2.5,1900,Lyndale,Powderhorn,3887,0
2005,6,319318.41817243164,1712,2,2,1.5,1914,Standish,Powderhorn,5080,0
2006,12,247414.5622845889,2200,4,2,2,1900,Central,Powderhorn,5761,0
2010,5,322739.7855400617,2372,4,2,1.5,1929,Howe,Longfellow,5120,1
2011,7,215048.74553561525,2254,3,2,1.2,1923,Audubon Park,Northeast,5020,0
2012,9,306913.40389152226,1688,3,2,1.2,1923,Field,Nokomis,4641,1
2014,6,175645.18795604285,1868,3,1,1.5,1900,Holland,Northeast,4510,0
2015,3,294888.87683493237,2460,4,3,1.2,1925,Howe,Longfellow,5376,1
2012,5,184874.2135339924,2184,3,2,1,1958,Windom,Southwest,6188,1
2007,5,272968.84525162634,1886,3,1,1.2,1950,Standish,Powderhorn,2970,1
2005,9,256786.47887323945,1896,3,1,1.2,1909,Corcoran,Powderhorn,7524,0
2006,2,232739.81945837513,2108,3,2,1,1956,Folwell,Camden,5060,0
2006,5,294582.8117237953,1816,2,2,1,1924,Howe,Longfellow,5248,0
2015,4,240118.53256682275,1776,3,2,1,1927,Hale,Nokomis,5119,1
2007,7,267010.3996570377,2129,5,2,1.5,1913,King Field,Southwest,4454,0
2014,10,173743.16640694102,1792,2,1,1,1920,Morris Park,Nokomis,5120,0
2010,4,533666.9687170831,2441,3,3,1.5,1931,Prospect Park - East River Road,University,7500,1
2011,10,113704.07938257993,2772,3,3,2,2003,Hawthorne,Near North,5719,0
2005,5,106538.84297520661,1210,2,1,1.2,1925,Willard - Hay,Near North,5160,0
2015,6,229989.80884215486,2076,3,1,1.2,1923,Keewaydin,Nokomis,8775,0
2012,4,189554.13701475214,1905,3,1,1.7,1916,Regina,Nokomis,4840,0
2015,8,167887.30974276678,1514,2,1,1.7,1914,Howe,Longfellow,3588,0
2008,6,248975.8717574944,2400,3,2,1,1959,Windom,Southwest,6426,2
2006,5,245912.60804769,1920,3,1,1.2,1941,Hiawatha,Longfellow,5040,0
2012,12,390269.0499565351,2296,4,2,1.5,1926,Fulton,Southwest,5120,1
2010,5,357742.81375120813,2626,4,3,1.5,1930,Northrop,Nokomis,4057,1
2013,1,912607.1975103484,3942,5,4,2,2012,Fulton,Southwest,5120,1
2015,7,349962.3347925086,1998,3,2,1.2,1920,Windom,Southwest,6834,1
2015,8,222044.50643398188,1614,2,2,1.7,1912,Longfellow,Longfellow,5120,0
2012,11,222872.39123196213,1728,3,2,1.2,1920,Standish,Powderhorn,5080,1
2013,8,257320.40298814338,2284,3,2,1.2,1924,Field,Nokomis,4760,1
2015,8,395889.10781278234,2808,2,3,2.5,1900,Seward,Longfellow,2460,1
2007,3,225938.86442461322,1620,3,1,1,1950,Sheridan,Northeast,6000,0
2011,12,129352.82079719043,2012,2,1,1.2,1951,Ericsson,Nokomis,6108,1
2012,5,687641.8918032645,4062,2,4,2,1923,Field,Nokomis,10720,3
2012,3,126091.00945338212,2288,2,1,1.2,1913,Audubon Park,Northeast,8372,1
2005,11,184810.74204947,1505,2,1,1.5,1913,Bryant,Powderhorn,4756,0
2005,2,241073.48024948026,1740,5,2,1.2,1949,Morris Park,Nokomis,5888,0
2015,12,156151.16019868694,2784,3,3,1.5,1951,Folwell,Camden,5085,0
2005,3,236327.54013464527,1728,2,1,1.7,1900,Seward,Longfellow,3000,0
2015,6,462570.2576065506,2462,3,2,2,1925,Tangletown,Southwest,6050,1
2009,10,256324.75324351413,2838,4,1,1.5,1932,Victory,Camden,6408,1
2006,4,287113.42301943206,2102,3,1,1.2,1950,Armatage,Southwest,5715,1
2015,11,349554.0436187331,2824,4,2,2,1958,Kenny,Southwest,6096,1
2014,12,279131.8136904661,2280,3,1,1.2,1941,Waite Park,Northeast,5670,1
2014,7,325566.6051924648,2483,4,2,1.2,1928,Howe,Longfellow,5456,1
2005,3,300416.3645779389,1555,4,3,1.2,1915,Marcy Holmes,University,6560,0
2005,6,279520.0826019618,2020,2,2,1.5,1915,Minnehaha,Nokomis,5080,0
2006,1,258729.55343702962,1912,2,1,1,1956,Victory,Camden,6536,0
2008,6,253718.26931478,2016,3,1,1,1917,Minnehaha,Nokomis,6400,0
2012,3,304241.04157652525,7124,7,3,2.5,1900,Ventura Village,Phillips,7020,3
2015,6,504458.77882831136,2256,4,2,1,1950,Linden Hills,Southwest,11890,0
2013,1,138994.97839683355,1909,2,2,1.2,1925,Standish,Powderhorn,4880,0
2007,3,213505.3193562215,2131,3,1,1.7,1915,Jordan,Near North,5334,0
2005,5,382074.92561983474,2154,4,2,1.5,1949,Kenny,Southwest,5120,1
2007,11,171202.74718498916,2373,4,1,1.2,1921,Hiawatha,Longfellow,4329,1
2005,8,335263.2330443652,1848,3,1,2,1937,Diamond Lake,Nokomis,6175,1
2011,9,267385.0050971548,1762,2,1,1,1939,Tangletown,Southwest,5796,1
2005,8,297135.25752167264,1740,3,1,2,1925,Standish,Powderhorn,4191,0
2015,11,207977.61504430356,2800,6,3,1,1951,Shingle Creek,Camden,7961,0
2015,6,190934.93564254366,1604,2,1,1,1923,Cooper,Longfellow,5120,0
2009,12,287661.2973724045,2156,3,2,2,1924,Longfellow,Longfellow,5120,0
2005,8,322115.6552779195,2398,3,2,1.2,1922,Bryn - Mawr,Calhoun-Isles,5040,1
2008,5,203064.79313036692,1452,2,1,1,1947,Armatage,Southwest,7040,1
2006,1,347991.2493728048,2017,3,2,1.2,1947,Armatage,Southwest,5625,0
2005,8,306338.56195818464,2604,4,2,1.2,1927,Field,Nokomis,5080,0
2012,5,405821.4443429102,3150,3,3,2.2,1914,King Field,Southwest,5850,1
2013,5,188898.748991992,2048,3,1,1.2,1949,Waite Park,Northeast,6076,0
2011,9,133123.59828241327,1924,3,1,1.7,1908,Howe,Longfellow,3615,0
2006,8,295270.4690873406,1740,3,2,1.5,1913,Cooper,Longfellow,5120,0
2015,12,301458.48982802057,3094,6,2,1.5,1950,Diamond Lake,Nokomis,6622,1
2005,5,266347.10743801657,2006,2,1,1.2,1925,Howe,Longfellow,5080,0
2007,3,269895.8419391294,1824,3,1,1,1951,Victory,Camden,6250,0
2009,9,483731.29004312964,2906,5,3,2.5,1909,CARAG,Calhoun-Isles,5598,0
2011,2,296285.32028229185,2064,3,1,2.5,1909,East Harriet,Southwest,4998,0
2015,1,226251.0021427324,2092,3,1,1.2,1925,Bancroft,Powderhorn,4246,1
2014,12,150600.6806291587,2245,2,1,1.2,1927,Cleveland,Camden,5139,1
2006,3,342129.99499248876,3192,4,3,1.2,1955,Armatage,Southwest,7260,3
2014,11,249302.14234776335,2085,4,2,1.5,1900,Sheridan,Northeast,5940,0
2015,8,180885.0369486584,1579,3,2,1.2,1924,Waite Park,Northeast,5000,1
2015,12,227720.44195641845,1568,2,2,1.5,1910,Bottineau,Northeast,3440,0
2014,11,257733.7007295882,2233,4,3,1.2,1941,Waite Park,Northeast,5040,1
2009,5,273531.48501093785,2402,3,2,1.5,1912,Cooper,Longfellow,5248,0
2014,5,274563.3307726724,1740,4,2,1.2,1918,King Field,Southwest,5000,0
2015,7,157055.21060016635,2224,4,2,1.5,1954,Shingle Creek,Camden,5375,0
2010,4,139820.74580387576,1120,1,1,1,1918,Victory,Camden,5064,0
2011,9,167055.32433350838,1602,2,1,1.2,1925,Waite Park,Northeast,5040,1
2011,6,270088.6631139738,1944,3,2,1.5,1950,Audubon Park,Northeast,5080,1
2010,4,533666.9687170831,2280,2,3,1.5,1916,Lynnhurst,Southwest,3060,2
2012,12,248099.6103295116,2106,4,3,1.2,1939,Standish,Powderhorn,7470,1
2008,4,482424.2764861504,3084,4,2,1,1966,Bryn - Mawr,Calhoun-Isles,8640,1
2013,5,221808.7135014856,1808,3,2,1.7,1914,Windom Park,Northeast,5712,0
2014,11,123753.5181848487,1950,4,2,1.2,1949,McKinley,Camden,6280,0
2014,11,193545.0627260183,1552,3,1,1.7,1917,Hale,Nokomis,4919,0
2010,10,160672.84223982468,1712,2,2,1.2,1914,Marshall Terrace,Northeast,5360,0
2014,10,111847.16337446828,2710,3,2,2,1883,Hawthorne,Near North,7800,0
2014,3,228627.80348094294,2251,3,1,1.2,1915,Corcoran,Powderhorn,5160,0
2005,10,602150.4771471623,2784,3,2,1.7,1920,Fulton,Southwest,7500,1
2007,9,673776.5587613345,2448,3,3,2,1928,Linden Hills,Southwest,6345,1
2005,12,233616.39575971733,2640,4,2,1.7,1904,Jordan,Near North,6075,0
2005,9,224363.94366197183,1966,2,1,1,1926,Victory,Camden,5124,1
2006,5,306109.9652260308,2408,5,4,2,2005,Cleveland,Camden,5431,1
2010,5,444953.74844677624,1970,3,1,1,1947,Armatage,Southwest,5120,1
2005,8,262951.55532891385,1742,4,1,1.7,1900,East Phillips,Phillips,4938,0
2005,2,753639.3846153846,3474,3,3,1.7,1917,Tangletown,Southwest,7905,1
2015,2,213737.71957406666,2868,3,2,2,1955,Armatage,Southwest,5520,2
2013,7,320923.9055388579,3054,5,2,1.5,1955,Keewaydin,Nokomis,7740,2
2011,5,153520.4604859301,2080,3,3,1.7,1905,Midtown Phillips,Phillips,5715,0
2013,4,889826.874377149,3644,4,4,2,2012,Fulton,Southwest,5120,2
2015,10,244014.92430583894,1999,3,2,1.2,1919,Hiawatha,Longfellow,5040,0
2015,7,675770.6613340952,2782,3,2,1.5,1924,Linden Hills,Southwest,6095,1
2006,4,282617.2396611859,2181,4,2,2.5,1900,Lyndale,Powderhorn,4096,0
2011,11,228123.66123898947,2004,2,1,1.2,1932,Windom,Southwest,5120,1
2013,4,194649.62877000135,1960,3,2,1.7,1913,Powderhorn Park,Powderhorn,3016,0
2012,10,455236.25657275575,2352,4,3,1.2,1942,Armatage,Southwest,13350,2
2012,10,156939.63857398182,1891,2,1,1.7,1908,Windom Park,Northeast,3024,0
2009,7,306781.814964187,2158,4,1,2.2,1906,King Field,Southwest,5080,0
2015,12,248865.91156665728,1900,3,2,1.5,1918,Standish,Powderhorn,4880,0
2010,5,234935.57917989788,2024,4,2,2.5,1909,Powderhorn Park,Powderhorn,4893,0
2015,5,244768.58747431447,1764,2,1,1.2,1946,Kenny,Southwest,5715,1
2014,12,163150.73734825526,1728,2,1,1,1923,Minnehaha,Nokomis,5411,0
2007,8,265065.8217242027,2746,6,1,2.5,1910,Central,Powderhorn,5434,1
2012,9,228789.99199186204,1893,3,2,1.2,1902,Longfellow,Longfellow,5922,0
2015,9,123213.77022122292,2206,3,1,1.5,1909,Folwell,Camden,5041,0
2014,10,380063.17651518347,2580,3,2,1,1960,Hiawatha,Longfellow,7140,2
2015,6,254833.0476274631,2144,3,2,1.2,1952,Waite Park,Northeast,6076,2
2005,5,307717.4719008265,1832,4,2,1,1985,Beltrami,Northeast,7631,0
2007,5,271846.5430098426,2124,3,2,1.5,1922,Como,University,5400,1
2014,5,294913.4468465883,1820,3,2,1,1978,Armatage,Southwest,10011,1
2013,3,235311.76759283975,2178,3,1,1,1964,Hiawatha,Longfellow,5120,0
2008,10,249512.8459181087,2160,3,2,1,1950,Standish,Powderhorn,8000,2
2015,7,297755.01651024644,1948,3,2,1,1919,Northrop,Nokomis,4085,1
2015,3,148482.3948198122,2030,3,2,1.2,1939,Webber - Camden,Camden,6400,0
2007,1,416955.1064948854,3032,4,2,1.2,1941,Diamond Lake,Nokomis,6222,1
2009,6,173931.2705433214,2226,2,1,1.2,1948,Victory,Camden,5126,1
2010,6,219602.4843576628,1884,2,1,1.2,1941,Audubon Park,Northeast,5000,1
2012,6,204206.75290122698,1704,2,1,1.7,1922,Howe,Longfellow,6579,0
2015,6,260257.33557185353,2194,3,2,1,1965,Hiawatha,Longfellow,5120,0
2014,4,314009.98020873865,2703,4,3,1.5,1915,Standish,Powderhorn,5978,0
2014,8,387615.463657037,2385,4,3,1.7,1900,Marcy Holmes,University,4830,0
2006,6,229971.8533201189,2599,3,1,1.7,1915,Willard - Hay,Near North,5418,1
2005,4,292730.73412493546,1838,4,2,1.2,1948,Harrison,Near North,6840,0
2013,12,226827.2104090423,2772,5,3,1.7,1912,King Field,Southwest,5292,0
2011,11,332959.53542957,3922,4,3,1.5,1900,Linden Hills,Southwest,11130,0
2006,1,300126.28198695433,2056,3,2,2.5,1908,Central,Powderhorn,5248,0
2008,11,361662.167551008,3133,3,2,1.7,1905,Prospect Park - East River Road,University,5840,0
2005,4,228940.25813113063,2043,3,2,1,1925,Willard - Hay,Near North,5120,0
2007,12,188998.1791955355,2086,2,2,1.2,1928,Windom Park,Northeast,5200,1
2013,11,390976.1640324648,2432,4,2,1.5,1920,Cooper,Longfellow,5160,1
2008,9,575423.74941177,2451,3,3,2,1922,Lynnhurst,Southwest,7615,1
2015,9,244147.81429738356,1656,2,1,1.2,1921,Keewaydin,Nokomis,5880,0
2005,9,334600.5633802817,3400,4,2,2.5,1900,Midtown Phillips,Phillips,5096,0
2005,6,666855.0542075374,3176,4,3,2,1934,Lynnhurst,Southwest,6300,2
2015,4,181726.07123807268,2132,3,1,1,1960,Cooper,Longfellow,5120,0
2008,4,1191855.437455011,3402,5,4,1,1952,Hiawatha,Longfellow,20605,2
2013,8,143458.88561441985,1848,3,1,1.2,1942,Lind - Bohanon,Camden,5145,0
2006,4,242793.90134529152,1528,2,2,1.2,1922,Standish,Powderhorn,5192,0
2006,3,193658.48773159742,1100,2,1,1,1922,Regina,Nokomis,5418,0
2009,4,305448.51416724257,2484,3,2,1.2,1924,Standish,Powderhorn,4873,0
2014,7,214945.60796301442,1920,4,2,1.2,1946,Wenonah,Nokomis,5130,0
2013,5,253495.6725731264,1689,3,2,1.2,1918,Standish,Powderhorn,5040,0
2006,8,404700.18449460255,2489,4,2,1.5,1939,Diamond Lake,Nokomis,6394,1
2006,4,307025.09217737924,2298,3,2,1.7,1915,Como,University,4960,0
2007,10,295796.9310196473,2194,3,2,1.2,1939,Bryn - Mawr,Calhoun-Isles,5160,0
2005,9,354054.08450704225,2072,3,2,1.2,1950,Ericsson,Nokomis,5080,0
2015,9,321875.6200052211,1796,2,1,1.7,1906,Tangletown,Southwest,5945,0
2012,6,281940.7046962245,2487,3,2,2.2,1911,Ericsson,Nokomis,5640,0
2007,4,369386.1216877768,2070,4,3,1.2,1926,Northrop,Nokomis,5043,0
2014,2,142294.82863292677,1598,2,1,1.5,1905,Bryant,Powderhorn,5031,0
2010,8,260281.2920159873,2540,4,2,1,1959,Waite Park,Northeast,7500,1
2013,7,204797.93902962646,2484,4,2,1.5,1911,Como,University,5240,0
2008,5,197673.6924277908,2544,3,2,1,1965,Victory,Camden,5682,2
2015,4,165900.07704616844,2092,3,2,1.2,1925,Standish,Powderhorn,4191,0
2013,12,215293.623439091,1796,3,3,2,1907,Keewaydin,Nokomis,5320,0
2006,12,288163.702609552,1512,3,2,1,1999,Holland,Northeast,5678,0
2013,6,310571.1888833918,2028,3,2,2,1941,Windom,Southwest,7680,1
2005,6,279520.0826019618,1835,2,2,1.2,1924,Howe,Longfellow,5120,0
2014,8,147663.03377410932,1584,2,1,1.2,1924,Victory,Camden,5122,0
2013,7,262639.51910691283,2096,3,2,1.5,1927,Keewaydin,Nokomis,6400,1
2012,6,264848.2610141604,1950,3,2,1.2,1940,Hale,Nokomis,5098,0
2010,8,242534.8402876245,1841,3,2,1.2,1946,Northrop,Nokomis,5443,0
2015,12,477128.5450515434,3206,4,3,2,1956,Linden Hills,Southwest,8512,1
2005,8,202341.2218255992,1880,2,1,1.2,1924,Folwell,Camden,5717,0
2015,10,241737.45167898445,1956,3,1,1.2,1923,Field,Nokomis,5334,0
2008,4,504941.7879612231,2878,3,3,2,1940,Northrop,Nokomis,6203,1
2014,4,223514.0484124702,1840,2,2,1,1952,Seward,Longfellow,6280,0
2013,10,177201.65875661725,2377,3,1,1.7,1915,Willard - Hay,Near North,7680,1
2007,10,295673.6822983891,1704,2,1,1,1926,Hale,Nokomis,5119,1
2005,8,207074.34982151966,1003,1,1,1,1923,Morris Park,Nokomis,6650,0
2015,7,192798.81025399733,2068,4,2,2,1900,Holland,Northeast,5760,0
2011,5,166296.6290935295,2000,2,1,1,1956,Bancroft,Powderhorn,6174,0
2007,10,295796.9310196473,2352,2,2,1.2,1919,Bryant,Powderhorn,4935,1
2015,10,563945.6028401611,3955,5,2,2.5,1900,East Isles,Calhoun-Isles,7316,2
2015,5,395709.21641680837,2297,3,2,1.2,1920,Fulton,Southwest,9050,0
2015,1,474468.1209983514,2928,4,2,1.7,1927,Fulton,Southwest,5120,1
2009,11,126399.44023495402,2148,3,3,2,2000,Near - North,Near North,5250,0
2014,12,316370.5602492254,1620,3,2,1,1947,Armatage,Southwest,5080,1
2005,6,272864.84254001034,1658,2,2,1.2,1924,Cleveland,Camden,4468,0
2012,4,260988.48538529672,2460,5,3,2.5,1905,King Field,Southwest,4025,0
2007,7,322896.2972596735,3060,4,2,2.5,1910,Windom Park,Northeast,6880,0
2015,4,252670.18313281576,3296,4,2,2.2,1907,Midtown Phillips,Phillips,5145,0
2015,9,246156.14447279557,1593,2,2,1.7,1926,Page,Nokomis,4960,1
2009,1,856440.9318039193,4850,5,3,2,1919,Tangletown,Southwest,9675,2
2015,7,287031.93661409715,2313,3,1,1.2,1929,Keewaydin,Nokomis,5120,1
2015,5,538490.8924434918,2468,3,1,2,1922,Lynnhurst,Southwest,5200,1
2011,11,184428.33309122283,1587,2,1,1.5,1909,Seward,Longfellow,5040,0
2009,3,243876.91004494225,2358,3,1,1.2,1928,Cooper,Longfellow,4200,1
2006,5,256158.96671634374,2214,3,1,1.7,1900,East Phillips,Phillips,4920,0
2007,5,231942.46330197577,2108,3,1,1,1956,Marshall Terrace,Northeast,4760,0
2009,11,118922.29024922434,1529,3,1,1.5,1912,Whittier,Powderhorn,3115,0
2014,12,225371.73594297617,2100,3,1,1.2,1955,Northrop,Nokomis,6050,0
2013,5,201795.89724571246,1658,2,1,1,1924,Audubon Park,Northeast,5000,0
2015,7,325483.38472655165,2373,3,2,1.2,1925,Howe,Longfellow,5120,2
2015,6,225650.3784866425,2768,4,1,2.5,1904,Central,Powderhorn,5763,0
2005,3,346880.7622993268,2430,3,1,2,1915,Powderhorn Park,Powderhorn,5587,1
2008,6,256563.70784915137,1747,2,1,1.5,1922,Windom Park,Northeast,5080,0
2005,7,295657.5885069266,1638,2,1,1.5,1914,Cooper,Longfellow,5160,0
2012,5,951425.8306261561,4056,4,4,2,2002,Cedar - Isles - Dean,Calhoun-Isles,6983,1
2014,5,106647.6671253345,2610,4,2,1.5,1905,Hawthorne,Near North,4756,0
2008,5,174196.047879261,2562,3,2,2,1922,McKinley,Camden,7465,1
2012,1,172567.65653391383,1608,3,2,1,1989,Wenonah,Nokomis,5148,0
2013,7,376385.40145985404,1988,3,2,2,1946,Kenny,Southwest,5969,1
2011,11,339348.13288785,2828,3,2,1,1957,Armatage,Southwest,6700,2
2014,5,375443.3179412286,2663,3,2,1.7,1928,Waite Park,Northeast,11125,1
2014,5,310148.8278644932,1840,2,2,1,1952,Hale,Nokomis,4934,0
2013,8,927678.7060516757,4216,4,3,2.5,1929,Linden Hills,Southwest,7502,2
2005,10,210752.6670015068,1692,3,1,1,1951,Cleveland,Camden,5107,0
2015,5,301337.3276906005,2073,3,2,1.2,1926,Northrop,Nokomis,5208,1
2005,11,179604.80565371027,1904,3,1,1.7,1913,Bancroft,Powderhorn,5656,0
2015,7,318713.76357999275,2270,4,3,2,1992,Sheridan,Northeast,5560,0
2015,4,147345.46316600486,1884,3,2,2.2,1900,Central,Powderhorn,4744,0
2008,7,1024039.7852211711,3773,6,3,2.5,1900,Lowry Hill,Calhoun-Isles,6750,1
2013,5,244184.15389856527,1803,4,1,1.7,1917,Regina,Nokomis,4656,0
2015,10,250521.98895399465,1536,2,2,1,1917,Standish,Powderhorn,5072,0
2006,11,312707.3267326733,2477,3,1,1.5,1938,Diamond Lake,Nokomis,6000,1
2007,9,265678.1329868088,1990,3,1,1.2,1948,Morris Park,Nokomis,5120,0
2006,9,292276.81262327416,2079,3,2,1.2,1927,Ericsson,Nokomis,5120,1
2005,4,321581.1997934951,1720,3,2,1.5,1900,St. Anthony East,Northeast,5160,0
2013,9,198713.39019627994,1906,3,2,1.2,1949,Keewaydin,Nokomis,9455,1
2010,5,165522.79442220076,2188,3,2,2,1994,Jordan,Near North,7162,0
